상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-01-01,1899-0218,EBS,식사지원 은영이ver2,"1,420,261",3,17,12,6,"130,000",1,"20,000",71%,567%,50%,"83,545",1.1
2026-01-01,1899-0219,SPOTV,식사지원 지영이,"248,120",6,4,3,,,,,75%,67%,0%,"62,030",0
2026-01-01,1899-0519,SPOTV2,난방비 동하,"177,419",4,1,1,,,,,100%,25%,0%,"177,419",0
2026-01-01,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - ,5,1,,1,"20,000",,,0%,20%,0%, - ,0
2026-01-01,1899-7319,JTBC4,은영이 셀럽,"184,256",5,2,1, - , - , - , - ,50%,40%,0%,"92,128",0
2026-01-01,1899-0762,JTBC4,식사지원 은영이 ver2,"331,660",9,2,2, - , - ,1,"20,000",100%,22%,0%,"165,830",0
2026-01-01,1899-7318,JTBC4,가족돌봄 지수,"331,660",9, - , - , - , - , - , - ,0%,0%,0%, - ,0
2026-01-01,1899-7316,JTBC4,식사지원 준우_셰프,"184,256",5,1,1, - , - , - , - ,100%,20%,0%,"184,256",0
2026-01-01,1899-2887,JTBC4,식사지원 준우_메인,"184,256",5,2,2,1,"25,000", - , - ,100%,40%,50%,"92,128",1.63
2026-01-01,1899-0795,JTBC4,식사지원 준우_아동,"184,256",5, - , - , - , - , - , - ,0%,0%,0%, - ,0
2026-01-01,1899-3569,JTBC4,식사지원 준우_할머니,"184,256",5, - , - , - , - , - , - ,0%,0%,0%, - ,0
2026-01-01,1899-7325,JTBC4,난방비 동하,"147,405",4,4,3,3,"55,000", - , - ,75%,100%,100%,"36,851",4.48
2026-01-01,1899-7326,JTBC2 (SVC),난방비 동하, - ,1,1,1,,,1,"20,000",100%,100%,0%, - ,0
2026-01-01,1899-0217,빌리어즈TV,식사지원 은영이_콜문구,"285,714",4,,,,,,,0%,0%,0%, - ,0
2026-01-01,1899-0263,바둑TV,식사지원 지영이,"122,222",4,,,,,,,0%,0%,0%, - ,0
2026-01-01,1899-0739,CNTV,난방비 동하,"206,250",3,,,,,,,0%,0%,0%, - ,0
2026-01-01,1899-0776,라이프타임,가족돌봄 지수ver2,"187,234",4,3,3,2,"40,000",,,100%,75%,67%,"62,411",2.56
2026-01-01,1899-7314,히스토리 (SVC),식사지원 지영이, - ,7,,,,,,,0%,0%,0%, - ,0
2026-01-01,1899-5186,시네마천국,식사지원 지영이,"283,871",9,1,1,1,"20,000",,,100%,11%,100%,"283,871",0.85
2026-01-01,1899-3854,채널J,식사지원 은영이ver2,"225,410",4,1,1,1,"20,000",,,100%,25%,100%,"225,410",1.06
2026-01-01,1899-7317,애니원_애니박스 (SVC),식사지원 은영이ver2, - ,8,,,,,,,0%,0%,0%, - ,0
2026-01-01,1899-7315,중화TV,식사지원 은영이_콜문구,"528,846",4,1,1,,,1,"120,000",100%,25%,0%,"528,846",0
2026-01-01,-,기타 TV채널,-, - , - ,,,1,"30,000",,,0%,0%,0%, - ,0
2026-01-01,2102-4590,발신,-, - , - ,2,1,,,,,50%,0%,0%, - ,0
2026-01-02,1899-0218,EBS,식사지원 은영이ver2,"2,032,066",4,12,7,2,"30,000",2,"70,000",58%,300%,29%,"169,339",0.18
2026-01-02,1899-0219,SPOTV,식사지원 지영이,"165,414",4,,,,,,,0%,0%,0%, - ,0
2026-01-02,1899-0519,SPOTV2,난방비 동하,"177,419",4,,,,,,,0%,0%,0%, - ,0
2026-01-02,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - ,5,,,,,,,0%,0%,0%, - ,0
2026-01-02,1899-7319,JTBC4,은영이 셀럽,"154,541",4,2,2,1,"20,000", - , - ,100%,50%,50%,"77,271",1.55
2026-01-02,1899-0762,JTBC4,식사지원 은영이 ver2,"347,715",9,2,1, - , - , - , - ,50%,22%,0%,"173,858",0
2026-01-02,1899-7318,JTBC4,가족돌봄 지수,"347,715",9,8,7,3,"65,000", - , - ,88%,89%,43%,"43,464",2.24
